UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 48
NumVolumes  = 30
NumEchoes   = 3

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         21754755         21754762     0
     0      12         21754755         21754762     0
     0      24         21754755         21754762     0
     0      36         21754755         21754762     0
     0       0         21754763         21754770     1
     0      12         21754763         21754770     1
     0      24         21754763         21754770     1
     0      36         21754763         21754770     1
     0       0         21754771         21754779     2
     0      12         21754771         21754779     2
     0      24         21754771         21754779     2
     0      36         21754771         21754779     2
     0       5         21754787         21754795     0
     0      17         21754787         21754795     0
     0      29         21754787         21754795     0
     0      41         21754787         21754795     0
     0       5         21754795         21754803     1
     0      17         21754795         21754803     1
     0      29         21754795         21754803     1
     0      41         21754795         21754803     1
     0       5         21754804         21754811     2
     0      17         21754804         21754811     2
     0      29         21754804         21754811     2
     0      41         21754804         21754811     2
     0      10         21754820         21754827     0
     0      22         21754820         21754827     0
     0      34         21754820         21754827     0
     0      46         21754820         21754827     0
     0      10         21754828         21754835     1
     0      22         21754828         21754835     1
     0      34         21754828         21754835     1
     0      46         21754828         21754835     1
     0      10         21754836         21754844     2
     0      22         21754836         21754844     2
     0      34         21754836         21754844     2
     0      46         21754836         21754844     2
     0       3         21754852         21754860     0
     0      15         21754852         21754860     0
     0      27         21754852         21754860     0
     0      39         21754852         21754860     0
     0       3         21754860         21754868     1
     0      15         21754860         21754868     1
     0      27         21754860         21754868     1
     0      39         21754860         21754868     1
     0       3         21754869         21754876     2
     0      15         21754869         21754876     2
     0      27         21754869         21754876     2
     0      39         21754869         21754876     2
     0       8         21754885         21754892     0
     0      20         21754885         21754892     0
     0      32         21754885         21754892     0
     0      44         21754885         21754892     0
     0       8         21754893         21754900     1
     0      20         21754893         21754900     1
     0      32         21754893         21754900     1
     0      44         21754893         21754900     1
     0       8         21754901         21754909     2
     0      20         21754901         21754909     2
     0      32         21754901         21754909     2
     0      44         21754901         21754909     2
     0       1         21754917         21754925     0
     0      13         21754917         21754925     0
     0      25         21754917         21754925     0
     0      37         21754917         21754925     0
     0       1         21754925         21754933     1
     0      13         21754925         21754933     1
     0      25         21754925         21754933     1
     0      37         21754925         21754933     1
     0       1         21754934         21754941     2
     0      13         21754934         21754941     2
     0      25         21754934         21754941     2
     0      37         21754934         21754941     2
     0       6         21754950         21754957     0
     0      18         21754950         21754957     0
     0      30         21754950         21754957     0
     0      42         21754950         21754957     0
     0       6         21754958         21754965     1
     0      18         21754958         21754965     1
     0      30         21754958         21754965     1
     0      42         21754958         21754965     1
     0       6         21754966         21754974     2
     0      18         21754966         21754974     2
     0      30         21754966         21754974     2
     0      42         21754966         21754974     2
     0      11         21754982         21754990     0
     0      23         21754982         21754990     0
     0      35         21754982         21754990     0
     0      47         21754982         21754990     0
     0      11         21754990         21754998     1
     0      23         21754990         21754998     1
     0      35         21754990         21754998     1
     0      47         21754990         21754998     1
     0      11         21754999         21755006     2
     0      23         21754999         21755006     2
     0      35         21754999         21755006     2
     0      47         21754999         21755006     2
     0       4         21755015         21755022     0
     0      16         21755015         21755022     0
     0      28         21755015         21755022     0
     0      40         21755015         21755022     0
     0       4         21755023         21755030     1
     0      16         21755023         21755030     1
     0      28         21755023         21755030     1
     0      40         21755023         21755030     1
     0       4         21755031         21755039     2
     0      16         21755031         21755039     2
     0      28         21755031         21755039     2
     0      40         21755031         21755039     2
     0       9         21755047         21755055     0
     0      21         21755047         21755055     0
     0      33         21755047         21755055     0
     0      45         21755047         21755055     0
     0       9         21755055         21755063     1
     0      21         21755055         21755063     1
     0      33         21755055         21755063     1
     0      45         21755055         21755063     1
     0       9         21755064         21755071     2
     0      21         21755064         21755071     2
     0      33         21755064         21755071     2
     0      45         21755064         21755071     2
     0       2         21755079         21755087     0
     0      14         21755079         21755087     0
     0      26         21755079         21755087     0
     0      38         21755079         21755087     0
     0       2         21755088         21755095     1
     0      14         21755088         21755095     1
     0      26         21755088         21755095     1
     0      38         21755088         21755095     1
     0       2         21755096         21755104     2
     0      14         21755096         21755104     2
     0      26         21755096         21755104     2
     0      38         21755096         21755104     2
     0       7         21755112         21755120     0
     0      19         21755112         21755120     0
     0      31         21755112         21755120     0
     0      43         21755112         21755120     0
     0       7         21755120         21755128     1
     0      19         21755120         21755128     1
     0      31         21755120         21755128     1
     0      43         21755120         21755128     1
     0       7         21755128         21755136     2
     0      19         21755128         21755136     2
     0      31         21755128         21755136     2
     0      43         21755128         21755136     2
     1       0         21755153         21755160     0
     1      12         21755153         21755160     0
     1      24         21755153         21755160     0
     1      36         21755153         21755160     0
     1       0         21755161         21755168     1
     1      12         21755161         21755168     1
     1      24         21755161         21755168     1
     1      36         21755161         21755168     1
     1       0         21755169         21755177     2
     1      12         21755169         21755177     2
     1      24         21755169         21755177     2
     1      36         21755169         21755177     2
     1       5         21755185         21755193     0
     1      17         21755185         21755193     0
     1      29         21755185         21755193     0
     1      41         21755185         21755193     0
     1       5         21755193         21755201     1
     1      17         21755193         21755201     1
     1      29         21755193         21755201     1
     1      41         21755193         21755201     1
     1       5         21755202         21755209     2
     1      17         21755202         21755209     2
     1      29         21755202         21755209     2
     1      41         21755202         21755209     2
     1      10         21755218         21755225     0
     1      22         21755218         21755225     0
     1      34         21755218         21755225     0
     1      46         21755218         21755225     0
     1      10         21755226         21755233     1
     1      22         21755226         21755233     1
     1      34         21755226         21755233     1
     1      46         21755226         21755233     1
     1      10         21755234         21755242     2
     1      22         21755234         21755242     2
     1      34         21755234         21755242     2
     1      46         21755234         21755242     2
     1       3         21755250         21755258     0
     1      15         21755250         21755258     0
     1      27         21755250         21755258     0
     1      39         21755250         21755258     0
     1       3         21755258         21755266     1
     1      15         21755258         21755266     1
     1      27         21755258         21755266     1
     1      39         21755258         21755266     1
