UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21747857     PULS   2086 
     21747859     PULS   2076 
     21747861     PULS   2071 
     21747863     PULS   2057 
     21747867     PULS   2038 
     21747869     PULS   2024 
     21747871     PULS   2010 
     21747873     PULS   1991 
     21747875     PULS   1976 
     21747877     PULS   1962 
     21747879     PULS   1948 
     21747881     PULS   1929 
     21747883     PULS   1910 
     21747885     PULS   1896 
     21747887     PULS   1881 
     21747889     PULS   1867 
     21747891     PULS   1862 
     21747893     PULS   1858 
     21747895     PULS   1858 
     21747896     PULS   1853 
     21747898     PULS   1853 
     21747900     PULS   1853 
     21747902     PULS   1853 
     21747904     PULS   1853 
     21747906     PULS   1853 
     21747908     PULS   1853 
     21747910     PULS   1853 
     21747912     PULS   1853 
     21747914     PULS   1848 
     21747916     PULS   1843 
     21747918     PULS   1848 
     21747920     PULS   1843 
     21747922     PULS   1839 
     21747924     PULS   1834 
     21747926     PULS   1834 
     21747928     PULS   1829 
     21747930     PULS   1829 
     21747932     PULS   1824 
     21747934     PULS   1820 
     21747936     PULS   1820 
     21747938     PULS   1820 
     21747940     PULS   1810 
     21747942     PULS   1805 
     21747944     PULS   1805 
     21747946     PULS   1805 
     21747948     PULS   1801 
     21747950     PULS   1805 
     21747952     PULS   1805 
     21747954     PULS   1805 
     21747956     PULS   1810 
     21747958     PULS   1810 
     21747960     PULS   1810 
     21747962     PULS   1810 
     21747964     PULS   1810 
     21747966     PULS   1810 
     21747968     PULS   1810 
     21747970     PULS   1805 
     21747972     PULS   1805 
     21747974     PULS   1801 
     21747976     PULS   1805 
     21747978     PULS   1805 
     21747980     PULS   1805 
     21747982     PULS   1805 
     21747984     PULS   1805 
     21747986     PULS   1805 
     21747988     PULS   1805 
     21747990     PULS   1801 
     21747992     PULS   1796 
     21747994     PULS   1796 
     21747996     PULS   1796 
     21747998     PULS   1796 
     21748000     PULS   1791 
     21748002     PULS   1786 
     21748004     PULS   1786 
     21748006     PULS   1786 
     21748008     PULS   1782 
     21748010     PULS   1782 
     21748012     PULS   1782 
     21748014     PULS   1782 
     21748016     PULS   1782 
     21748018     PULS   1782 
     21748020     PULS   1786 
     21748022     PULS   1786 
     21748024     PULS   1791 
     21748026     PULS   1796 
     21748028     PULS   1805 
     21748030     PULS   1810 
     21748032     PULS   1820 
     21748034     PULS   1824 
     21748036     PULS   1829 
     21748038     PULS   1829 
     21748040     PULS   1839 
     21748042     PULS   1834 
     21748044     PULS   1839 
     21748046     PULS   1843 
     21748048     PULS   1848 
     21748050     PULS   1853 
     21748052     PULS   1862 
     21748054     PULS   1872 
     21748056     PULS   1886 
     21748058     PULS   1900 
     21748060     PULS   1924 
     21748062     PULS   1953 
     21748064     PULS   1986 
     21748066     PULS   2033 
     21748068     PULS   2081 
     21748070     PULS   2133 
     21748072     PULS   2190 
     21748074     PULS   2252 
     21748076     PULS   2318 
     21748078     PULS   2375 
     21748080     PULS   2437 
     21748082     PULS   2499 
     21748084     PULS   2556 
     21748086     PULS   2608 
     21748088     PULS   2656 
     21748090     PULS   2698 
     21748092     PULS   2741 
     21748094     PULS   2774 
     21748096     PULS   2808 
     21748098     PULS   2831 
     21748100     PULS   2855 
     21748102     PULS   2869 
     21748104     PULS   2884 
     21748106     PULS   2888 
     21748108     PULS   2888 
     21748110     PULS   2884 
     21748112     PULS   2879 
     21748114     PULS   2865 
     21748116     PULS   2850 
     21748118     PULS   2831 
     21748120     PULS   2812 
     21748122     PULS   2789 
     21748124     PULS   2760 
     21748126     PULS   2732 
     21748128     PULS   2698  PULS_TRIGGER
     21748130     PULS   2665 
     21748132     PULS   2641 
     21748134     PULS   2603 
     21748136     PULS   2570 
     21748138     PULS   2542 
     21748140     PULS   2508 
     21748142     PULS   2480 
     21748144     PULS   2451 
     21748146     PULS   2423 
     21748148     PULS   2394 
     21748150     PULS   2371 
     21748152     PULS   2352 
     21748154     PULS   2328 
     21748156     PULS   2309 
     21748158     PULS   2295 
     21748160     PULS   2276 
     21748162     PULS   2266 
     21748164     PULS   2252 
     21748166     PULS   2238 
     21748168     PULS   2223 
     21748170     PULS   2214 
     21748172     PULS   2200 
     21748174     PULS   2190 
     21748176     PULS   2181 
     21748178     PULS   2166 
     21748180     PULS   2162 
     21748182     PULS   2147 
     21748184     PULS   2143 
     21748186     PULS   2128 
     21748188     PULS   2128 
     21748190     PULS   2119 
     21748192     PULS   2119 
     21748194     PULS   2114 
     21748196     PULS   2114 
     21748198     PULS   2114 
     21748200     PULS   2114 
     21748202     PULS   2114 
     21748204     PULS   2119 
     21748206     PULS   2124 
     21748208     PULS   2128 
     21748210     PULS   2133 
     21748212     PULS   2133 
     21748214     PULS   2138 
     21748216     PULS   2138 
     21748218     PULS   2143 
     21748220     PULS   2143 
     21748222     PULS   2138 
     21748224     PULS   2143 
     21748226     PULS   2143 
     21748228     PULS   2143 
     21748230     PULS   2147 
     21748232     PULS   2147 
     21748234     PULS   2147 
     21748236     PULS   2147 
     21748238     PULS   2143 
     21748240     PULS   2143 
     21748242     PULS   2143 
     21748244     PULS   2143 
     21748246     PULS   2143 
     21748248     PULS   2143 
     21748250     PULS   2143 
     21748252     PULS   2143 
     21748254     PULS   2143 
     21748256     PULS   2133 
     21748258     PULS   2128 
     21748260     PULS   2119 
     21748262     PULS   2114 
     21748264     PULS   2100 
     21748266     PULS   2090 
     21748268     PULS   2081 
     21748270     PULS   2067 
     21748272     PULS   2052 
     21748274     PULS   2043 
     21748276     PULS   2024 
     21748278     PULS   2010 
     21748280     PULS   1995 
     21748282     PULS   1976 
     21748284     PULS   1962 
     21748286     PULS   1953 
     21748288     PULS   1938 
     21748290     PULS   1934 
     21748292     PULS   1929 
     21748294     PULS   1915 
     21748296     PULS   1905 
     21748298     PULS   1900 
     21748300     PULS   1896 
     21748302     PULS   1881 
     21748304     PULS   1877 
     21748306     PULS   1867 
     21748308     PULS   1862 
     21748310     PULS   1858 
     21748312     PULS   1853 
     21748314     PULS   1843 
     21748316     PULS   1839 
     21748318     PULS   1829 
     21748320     PULS   1829 
     21748322     PULS   1829 
     21748324     PULS   1829 
     21748326     PULS   1834 
     21748328     PULS   1834 
     21748330     PULS   1834 
     21748332     PULS   1839 
     21748334     PULS   1834 
     21748336     PULS   1834 
     21748338     PULS   1834 
     21748340     PULS   1834 
     21748342     PULS   1829 
