UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21747857     RESP     26 
     21747865     RESP     38 
     21747873     RESP     41 
     21747881     RESP     45 
     21747889     RESP     53 
     21747896     RESP     60 
     21747904     RESP     75 
     21747912     RESP     94 
     21747920     RESP    109 
     21747928     RESP    124 
     21747936     RESP    128 
     21747944     RESP    131 
     21747952     RESP    135 
     21747960     RESP    139 
     21747968     RESP    146 
     21747976     RESP    161 
     21747984     RESP    188 
     21747992     RESP    203 
     21748000     RESP    221 
     21748008     RESP    229 
     21748016     RESP    244 
     21748024     RESP    251 
     21748032     RESP    236 
     21748040     RESP    188 
     21748048     RESP    146 
     21748056     RESP    116 
     21748064     RESP    105 
     21748072     RESP    109 
     21748080     RESP    128 
     21748088     RESP    150 
     21748096     RESP    176 
     21748104     RESP    199 
     21748112     RESP    218 
     21748120     RESP    236 
     21748128     RESP    266 
     21748136     RESP    293 
     21748144     RESP    311 
     21748152     RESP    323 
     21748160     RESP    334 
     21748168     RESP    349 
     21748176     RESP    371 
     21748184     RESP    394 
     21748192     RESP    416 
     21748200     RESP    439 
     21748208     RESP    461 
     21748216     RESP    488 
     21748224     RESP    525 
     21748232     RESP    585 
     21748240     RESP    653 
     21748248     RESP    705 
     21748256     RESP    746 
     21748264     RESP    784 
     21748272     RESP    814 
     21748280     RESP    844 
     21748288     RESP    874 
     21748296     RESP    900 
     21748304     RESP    919 
     21748312     RESP    945 
     21748320     RESP    956 
     21748328     RESP    971 
     21748336     RESP    986 
     21748344     RESP    994 
     21748352     RESP   1009 
     21748360     RESP   1016 
     21748368     RESP   1031 
     21748376     RESP   1046 
     21748384     RESP   1058 
     21748392     RESP   1076 
     21748400     RESP   1103 
     21748408     RESP   1118 
     21748416     RESP   1129 
     21748424     RESP   1140 
     21748432     RESP   1140 
     21748440     RESP   1136 
     21748448     RESP   1103 
     21748456     RESP   1054 
     21748464     RESP   1016 
     21748472     RESP   1001 
     21748480     RESP   1009 
     21748488     RESP   1031 
     21748496     RESP   1069 
     21748504     RESP   1091 
     21748512     RESP   1110 
     21748520     RESP   1129 
     21748528     RESP   1136 
     21748536     RESP   1151  PULS_TRIGGER
     21748544     RESP   1170 
     21748552     RESP   1193 
     21748560     RESP   1196 
     21748568     RESP   1185 
     21748576     RESP   1174 
     21748584     RESP   1163 
     21748592     RESP   1163 
     21748600     RESP   1166 
     21748608     RESP   1174 
     21748616     RESP   1178 
     21748624     RESP   1185 
     21748632     RESP   1181 
     21748640     RESP   1174 
     21748648     RESP   1170 
     21748656     RESP   1163 
     21748664     RESP   1163 
     21748672     RESP   1159 
     21748680     RESP   1159 
     21748688     RESP   1163 
     21748696     RESP   1163 
     21748704     RESP   1166 
     21748712     RESP   1174 
     21748720     RESP   1181 
     21748728     RESP   1181 
     21748736     RESP   1178 
     21748744     RESP   1178 
     21748752     RESP   1181 
     21748760     RESP   1193 
     21748768     RESP   1204 
     21748776     RESP   1211 
     21748784     RESP   1226 
     21748792     RESP   1238 
     21748800     RESP   1245 
     21748808     RESP   1245 
     21748816     RESP   1219 
     21748824     RESP   1178 
     21748832     RESP   1136 
     21748840     RESP   1106 
     21748848     RESP   1091 
     21748856     RESP   1091 
     21748864     RESP   1103 
     21748872     RESP   1118 
     21748880     RESP   1129 
     21748888     RESP   1136 
     21748896     RESP   1144 
     21748904     RESP   1144  PULS_TRIGGER
     21748912     RESP   1148 
     21748920     RESP   1163 
     21748928     RESP   1181 
     21748936     RESP   1196 
     21748944     RESP   1215 
     21748952     RESP   1234 
     21748960     RESP   1245 
     21748968     RESP   1260 
     21748976     RESP   1271 
     21748984     RESP   1286 
     21748992     RESP   1298 
     21749000     RESP   1313 
     21749008     RESP   1320 
     21749016     RESP   1331 
     21749024     RESP   1339 
     21749032     RESP   1346 
     21749040     RESP   1354 
     21749048     RESP   1361 
     21749056     RESP   1376 
     21749064     RESP   1388 
     21749072     RESP   1403 
     21749080     RESP   1418 
     21749088     RESP   1425 
     21749096     RESP   1433 
     21749104     RESP   1444 
     21749112     RESP   1455 
     21749120     RESP   1470 
     21749128     RESP   1481 
     21749136     RESP   1496 
     21749144     RESP   1504 
     21749152     RESP   1519 
     21749160     RESP   1538 
     21749168     RESP   1545 
     21749176     RESP   1560 
     21749184     RESP   1564 
     21749192     RESP   1556 
     21749200     RESP   1534 
     21749208     RESP   1504 
     21749216     RESP   1485 
     21749224     RESP   1478 
     21749232     RESP   1485 
     21749240     RESP   1508 
     21749248     RESP   1538 
     21749256     RESP   1571 
     21749264     RESP   1605 
     21749272     RESP   1643 
     21749280     RESP   1676 
     21749288     RESP   1710 
     21749296     RESP   1751 
     21749304     RESP   1793 
     21749312     RESP   1849 
     21749320     RESP   1920 
     21749328     RESP   1991 
     21749336     RESP   2057 
     21749344     RESP   2099 
     21749352     RESP   2140 
     21749360     RESP   2183 
     21749368     RESP   2225 
     21749376     RESP   2268 
     21749384     RESP   2311 
     21749392     RESP   2347 
     21749400     RESP   2378 
     21749408     RESP   2419 
     21749416     RESP   2462 
     21749424     RESP   2507 
     21749432     RESP   2552 
     21749440     RESP   2597 
     21749448     RESP   2642 
     21749456     RESP   2682 
     21749464     RESP   2729 
     21749472     RESP   2772 
     21749480     RESP   2815 
     21749488     RESP   2858 
     21749496     RESP   2891 
     21749504     RESP   2921 
     21749512     RESP   2952 
     21749520     RESP   2988 
     21749528     RESP   3033 
     21749536     RESP   3078 
     21749544     RESP   3114 
     21749552     RESP   3137 
     21749560     RESP   3157 
     21749568     RESP   3179 
     21749576     RESP   3197 
     21749584     RESP   3200 
     21749592     RESP   3195 
     21749600     RESP   3204 
     21749608     RESP   3229 
     21749616     RESP   3263 
     21749624     RESP   3305 
     21749632     RESP   3348 
     21749640     RESP   3395 
     21749648     RESP   3438 
     21749656     RESP   3472 
     21749664     RESP   3499 
     21749672     RESP   3528 
     21749680     RESP   3560 
     21749688     RESP   3584 
     21749696     RESP   3605 
     21749704     RESP   3620 
     21749712     RESP   3632 
     21749720     RESP   3643 
     21749728     RESP   3661 
     21749736     RESP   3679 
     21749744     RESP   3697 
     21749752     RESP   3713 
     21749760     RESP   3728 
     21749768     RESP   3740 
     21749776     RESP   3746 
     21749784     RESP   3744 
     21749792     RESP   3740 
     21749800     RESP   3731 
     21749808     RESP   3726 
     21749816     RESP   3719 
     21749824     RESP   3715 
