UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 42
NumVolumes  = 780
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         21532036         21532053     0
     0       7         21532036         21532053     0
     0      14         21532036         21532053     0
     0      21         21532036         21532053     0
     0      28         21532036         21532053     0
     0      35         21532036         21532053     0
     0       2         21532063         21532080     0
     0       9         21532063         21532080     0
     0      16         21532063         21532080     0
     0      23         21532063         21532080     0
     0      30         21532063         21532080     0
     0      37         21532063         21532080     0
     0       4         21532090         21532108     0
     0      11         21532090         21532108     0
     0      18         21532090         21532108     0
     0      25         21532090         21532108     0
     0      32         21532090         21532108     0
     0      39         21532090         21532108     0
     0       6         21532118         21532135     0
     0      13         21532118         21532135     0
     0      20         21532118         21532135     0
     0      27         21532118         21532135     0
     0      34         21532118         21532135     0
     0      41         21532118         21532135     0
     0       1         21532145         21532163     0
     0       8         21532145         21532163     0
     0      15         21532145         21532163     0
     0      22         21532145         21532163     0
     0      29         21532145         21532163     0
     0      36         21532145         21532163     0
     0       3         21532173         21532190     0
     0      10         21532173         21532190     0
     0      17         21532173         21532190     0
     0      24         21532173         21532190     0
     0      31         21532173         21532190     0
     0      38         21532173         21532190     0
     0       5         21532200         21532217     0
     0      12         21532200         21532217     0
     0      19         21532200         21532217     0
     0      26         21532200         21532217     0
     0      33         21532200         21532217     0
     0      40         21532200         21532217     0
     1       0         21532236         21532253     0
     1       7         21532236         21532253     0
     1      14         21532236         21532253     0
     1      21         21532236         21532253     0
     1      28         21532236         21532253     0
     1      35         21532236         21532253     0
     1       2         21532263         21532280     0
     1       9         21532263         21532280     0
     1      16         21532263         21532280     0
     1      23         21532263         21532280     0
     1      30         21532263         21532280     0
     1      37         21532263         21532280     0
     1       4         21532290         21532308     0
     1      11         21532290         21532308     0
     1      18         21532290         21532308     0
     1      25         21532290         21532308     0
     1      32         21532290         21532308     0
     1      39         21532290         21532308     0
     1       6         21532318         21532335     0
     1      13         21532318         21532335     0
     1      20         21532318         21532335     0
     1      27         21532318         21532335     0
     1      34         21532318         21532335     0
     1      41         21532318         21532335     0
     1       1         21532345         21532363     0
     1       8         21532345         21532363     0
     1      15         21532345         21532363     0
     1      22         21532345         21532363     0
     1      29         21532345         21532363     0
     1      36         21532345         21532363     0
     1       3         21532373         21532390     0
     1      10         21532373         21532390     0
     1      17         21532373         21532390     0
     1      24         21532373         21532390     0
     1      31         21532373         21532390     0
     1      38         21532373         21532390     0
     1       5         21532400         21532417     0
     1      12         21532400         21532417     0
     1      19         21532400         21532417     0
     1      26         21532400         21532417     0
     1      33         21532400         21532417     0
     1      40         21532400         21532417     0
     2       0         21532436         21532453     0
     2       7         21532436         21532453     0
     2      14         21532436         21532453     0
     2      21         21532436         21532453     0
     2      28         21532436         21532453     0
     2      35         21532436         21532453     0
     2       2         21532463         21532480     0
     2       9         21532463         21532480     0
     2      16         21532463         21532480     0
     2      23         21532463         21532480     0
     2      30         21532463         21532480     0
     2      37         21532463         21532480     0
     2       4         21532490         21532508     0
     2      11         21532490         21532508     0
     2      18         21532490         21532508     0
     2      25         21532490         21532508     0
     2      32         21532490         21532508     0
     2      39         21532490         21532508     0
     2       6         21532518         21532535     0
     2      13         21532518         21532535     0
     2      20         21532518         21532535     0
     2      27         21532518         21532535     0
     2      34         21532518         21532535     0
     2      41         21532518         21532535     0
     2       1         21532545         21532563     0
     2       8         21532545         21532563     0
     2      15         21532545         21532563     0
     2      22         21532545         21532563     0
     2      29         21532545         21532563     0
     2      36         21532545         21532563     0
     2       3         21532573         21532590     0
     2      10         21532573         21532590     0
     2      17         21532573         21532590     0
     2      24         21532573         21532590     0
     2      31         21532573         21532590     0
     2      38         21532573         21532590     0
     2       5         21532600         21532617     0
     2      12         21532600         21532617     0
     2      19         21532600         21532617     0
     2      26         21532600         21532617     0
     2      33         21532600         21532617     0
     2      40         21532600         21532617     0
     3       0         21532636         21532653     0
     3       7         21532636         21532653     0
     3      14         21532636         21532653     0
     3      21         21532636         21532653     0
     3      28         21532636         21532653     0
     3      35         21532636         21532653     0
     3       2         21532663         21532680     0
     3       9         21532663         21532680     0
     3      16         21532663         21532680     0
     3      23         21532663         21532680     0
     3      30         21532663         21532680     0
     3      37         21532663         21532680     0
     3       4         21532690         21532708     0
     3      11         21532690         21532708     0
     3      18         21532690         21532708     0
     3      25         21532690         21532708     0
     3      32         21532690         21532708     0
     3      39         21532690         21532708     0
     3       6         21532718         21532735     0
