UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21529406     PULS   1886 
     21529408     PULS   1970 
     21529410     PULS   2060 
     21529412     PULS   2150 
     21529414     PULS   2240 
     21529416     PULS   2318 
     21529418     PULS   2396 
     21529420     PULS   2468 
     21529422     PULS   2534 
     21529424     PULS   2600 
     21529426     PULS   2660 
     21529428     PULS   2714 
     21529430     PULS   2768 
     21529432     PULS   2816 
     21529434     PULS   2858 
     21529436     PULS   2894 
     21529438     PULS   2930 
     21529440     PULS   2966 
     21529442     PULS   3002 
     21529444     PULS   3026 
     21529445     PULS   3056 
     21529447     PULS   3080 
     21529449     PULS   3086 
     21529451     PULS   3092 
     21529453     PULS   3098 
     21529455     PULS   3092 
     21529457     PULS   3080 
     21529459     PULS   3056 
     21529461     PULS   3044 
     21529463     PULS   3020 
     21529465     PULS   3002 
     21529467     PULS   2984 
     21529469     PULS   2966 
     21529471     PULS   2948 
     21529473     PULS   2930 
     21529475     PULS   2900 
     21529477     PULS   2876 
     21529479     PULS   2852 
     21529481     PULS   2822 
     21529483     PULS   2792 
     21529485     PULS   2756 
     21529487     PULS   2726 
     21529489     PULS   2690 
     21529491     PULS   2660 
     21529493     PULS   2624 
     21529495     PULS   2594 
     21529497     PULS   2564 
     21529499     PULS   2534 
     21529501     PULS   2498 
     21529503     PULS   2474 
     21529505     PULS   2438 
     21529507     PULS   2414 
     21529509     PULS   2390 
     21529511     PULS   2360 
     21529513     PULS   2330 
     21529515     PULS   2300 
     21529517     PULS   2276 
     21529519     PULS   2252 
     21529521     PULS   2234 
     21529523     PULS   2216 
     21529525     PULS   2210 
     21529527     PULS   2198 
     21529529     PULS   2192 
     21529531     PULS   2186 
     21529533     PULS   2180 
     21529535     PULS   2174 
     21529537     PULS   2168 
     21529539     PULS   2162 
     21529541     PULS   2156 
     21529543     PULS   2150 
     21529545     PULS   2138 
     21529547     PULS   2132 
     21529549     PULS   2114 
     21529551     PULS   2102 
     21529553     PULS   2090 
     21529555     PULS   2078 
     21529557     PULS   2078 
     21529559     PULS   2078 
     21529561     PULS   2078 
     21529563     PULS   2072 
     21529565     PULS   2072 
     21529567     PULS   2066 
     21529569     PULS   2060 
     21529571     PULS   2060 
     21529573     PULS   2066 
     21529575     PULS   2078 
     21529577     PULS   2084 
     21529579     PULS   2084 
     21529581     PULS   2090 
     21529583     PULS   2090 
     21529585     PULS   2090 
     21529587     PULS   2090 
     21529589     PULS   2078 
     21529591     PULS   2072 
     21529593     PULS   2060 
     21529597     PULS   2030 
     21529599     PULS   2012 
     21529601     PULS   2000 
     21529603     PULS   1988 
     21529605     PULS   1976 
