UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21529406     RESP   1610 
     21529414     RESP   1598 
     21529422     RESP   1583 
     21529430     RESP   1574 
     21529438     RESP   1565 
     21529445     RESP   1553 
     21529453     RESP   1544 
     21529461     RESP   1538 
     21529469     RESP   1535 
     21529477     RESP   1538 
     21529485     RESP   1532 
     21529493     RESP   1535 
     21529501     RESP   1535 
     21529509     RESP   1532 
     21529517     RESP   1529 
     21529525     RESP   1523 
     21529533     RESP   1526 
     21529541     RESP   1526 
     21529549     RESP   1532 
     21529557     RESP   1538 
     21529565     RESP   1532 
     21529573     RESP   1535 
     21529581     RESP   1535 
     21529589     RESP   1541 
     21529597     RESP   1538 
     21529605     RESP   1541 
     21529613     RESP   1541 
     21529621     RESP   1541 
     21529629     RESP   1538 
     21529637     RESP   1541 
     21529645     RESP   1547 
     21529653     RESP   1559 
     21529661     RESP   1562 
     21529669     RESP   1571 
     21529677     RESP   1583 
     21529685     RESP   1592 
     21529693     RESP   1592 
     21529701     RESP   1586 
     21529709     RESP   1577 
     21529717     RESP   1571 
     21529725     RESP   1568 
     21529733     RESP   1565 
     21529741     RESP   1559 
     21529749     RESP   1556 
     21529757     RESP   1556 
     21529765     RESP   1556 
     21529773     RESP   1550 
     21529781     RESP   1550 
     21529789     RESP   1547 
     21529797     RESP   1556 
     21529805     RESP   1559 
     21529813     RESP   1562 
     21529821     RESP   1571 
     21529829     RESP   1577 
     21529837     RESP   1580 
     21529845     RESP   1589 
     21529853     RESP   1598 
     21529861     RESP   1601 
     21529869     RESP   1604 
     21529877     RESP   1607 
     21529885     RESP   1610 
     21529893     RESP   1616 
     21529901     RESP   1616 
     21529909     RESP   1622 
     21529917     RESP   1628 
     21529925     RESP   1625 
     21529933     RESP   1625 
     21529941     RESP   1628 
     21529949     RESP   1631 
     21529957     RESP   1634 
     21529965     RESP   1628 
     21529973     RESP   1631 
     21529981     RESP   1634 
     21529989     RESP   1646 
     21529997     RESP   1655 
     21530005     RESP   1664 
     21530013     RESP   1679 
     21530021     RESP   1700 
     21530029     RESP   1712 
     21530037     RESP   1730 
     21530045     RESP   1742 
     21530053     RESP   1751 
     21530061     RESP   1766 
     21530069     RESP   1790 
     21530077     RESP   1814 
     21530085     RESP   1841 
     21530093     RESP   1868 
     21530101     RESP   1904 
     21530109     RESP   1934 
     21530117     RESP   1964 
     21530125     RESP   1991 
     21530133     RESP   2027 
     21530141     RESP   2063 
     21530149     RESP   2102 
     21530157     RESP   2132 
     21530165     RESP   2159 
     21530173     RESP   2183 
     21530181     RESP   2213 
     21530189     RESP   2240 
     21530197     RESP   2276 
